EURUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
01/26/2024 00:00,1.08456,1.08781,1.0811,1.08728,27.2,0.25,
01/25/2024 00:00,1.08807,1.09015,1.0821,1.08456,-35.1,-0.32,
01/24/2024 00:00,1.08573,1.09322,1.085,1.08816,24.3,0.22,
01/23/2024 00:00,1.08774,1.0916,1.08208,1.0855,-22.4,-0.21,
01/22/2024 00:00,1.08912,1.091,1.0875,1.0877,-14.2,-0.13,
01/21/2024 00:00,1.08919,1.08974,1.08866,1.08915,-0.4,0.00,
01/19/2024 00:00,1.08796,1.0899,1.0864,1.08944,14.8,0.14,
01/18/2024 00:00,1.08859,1.0907,1.0846,1.088,-5.9,-0.05,
01/17/2024 00:00,1.0866,1.0886,1.0844,1.08847,18.7,0.17,
01/16/2024 00:00,1.09446,1.09462,1.0861,1.08781,-66.5,-0.61,
01/15/2024 00:00,1.09449,1.0968,1.0932,1.09446,-0.3,0.00,
01/14/2024 00:00,1.09509,1.09509,1.09431,1.09448,-6.1,-0.06,
01/12/2024 00:00,1.09824,1.09869,1.0934,1.0941,-41.4,-0.38,
01/11/2024 00:00,1.0974,1.09904,1.0929,1.0982,8,0.07,
01/10/2024 00:00,1.09319,1.0975,1.0921,1.09742,42.3,0.39,
01/09/2024 00:00,1.09494,1.0967,1.091,1.0931,-18.4,-0.17,
01/08/2024 00:00,1.09413,1.0979,1.09226,1.09493,8.0,0.07,
01/07/2024 00:00,1.09421,1.09459,1.09347,1.09411,-1.0,-0.01,
01/05/2024 00:00,1.0946,1.09985,1.08758,1.0938,-8,-0.07,
01/04/2024 00:00,1.09261,1.0973,1.0914,1.09468,20.7,0.19,
01/03/2024 00:00,1.09415,1.0966,1.08929,1.09249,-16.6,-0.15,
01/02/2024 00:00,1.10366,1.10434,1.09343,1.09408,-95.8,-0.88,
01/01/2024 00:00,1.1038,1.1077,1.091,1.1037,-1,-0.01,
12/29/2023 00:00,1.10675,1.1085,1.1023,1.1036,-31.5,-0.29,
12/28/2023 00:00,1.1108,1.11395,1.1054,1.10667,-41.3,-0.37,
12/27/2023 00:00,1.10421,1.1123,1.1027,1.11079,65.8,0.59,
12/26/2023 00:00,1.10186,1.10452,1.1007,1.1043,24.4,0.22,
12/25/2023 00:00,1.1016,1.1086,1.09885,1.10186,2.6,0.02,
12/22/2023 00:00,1.10062,1.10402,1.09938,1.1026,19.8,0.18,
12/21/2023 00:00,1.09432,1.1013,1.0934,1.1005,61.8,0.56,
12/20/2023 00:00,1.09793,1.09795,1.0928,1.0943,-36.3,-0.33,
12/19/2023 00:00,1.09233,1.09874,1.0913,1.09803,57.0,0.52,
12/18/2023 00:00,1.08947,1.0931,1.0893,1.09231,28.4,0.26,
12/17/2023 00:00,1.08946,1.08971,1.08916,1.08946,0.0,0.00,
12/15/2023 00:00,1.09932,1.1005,1.0876,1.0907,-86.2,-0.79,
12/14/2023 00:00,1.0883,1.10091,1.0878,1.0992,109,0.99,
12/13/2023 00:00,1.07982,1.08966,1.0771,1.088,81.8,0.75,
12/12/2023 00:00,1.0765,1.08282,1.0759,1.07977,32.7,0.30,
12/11/2023 00:00,1.0765,1.0779,1.0741,1.0765,0,0.00,
12/10/2023 00:00,1.07571,1.07673,1.0756,1.07647,7.6,0.07,
12/08/2023 00:00,1.07899,1.08006,1.07232,1.0772,-17.9,-0.17,
12/07/2023 00:00,1.07664,1.08176,1.07549,1.07892,22.8,0.21,
12/06/2023 00:00,1.0794,1.0805,1.0757,1.07661,-27.9,-0.26,
12/05/2023 00:00,1.08373,1.08473,1.0777,1.0792,-45.3,-0.42,
12/04/2023 00:00,1.08854,1.08863,1.0803,1.0837,-48.4,-0.45,
12/03/2023 00:00,1.08769,1.08946,1.08766,1.08855,8.6,0.08,
12/01/2023 00:00,1.08917,1.0914,1.08285,1.0891,-0.7,-0.01,
11/30/2023 00:00,1.0973,1.0984,1.08775,1.0891,-82,-0.75,
11/29/2023 00:00,1.10041,1.10173,1.0959,1.0972,-32.1,-0.29,
11/28/2023 00:00,1.0959,1.1009,1.0933,1.10032,44.2,0.40,
11/27/2023 00:00,1.09399,1.096,1.0924,1.0958,18.1,0.17,
11/26/2023 00:00,1.09439,1.09471,1.09382,1.09394,-4.5,-0.04,
11/24/2023 00:00,1.09042,1.0949,1.0893,1.0948,43.8,0.40,
