GBPUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
08/17/2023 00:00,1.2727,1.2727,1.271,1.27173,-9.7,-0.08,
08/16/2023 20:00,1.2719,1.2736,1.2718,1.2726,7,0.06,
08/16/2023 16:00,1.27463,1.27501,1.27092,1.27185,-27.8,-0.22,
08/16/2023 12:00,1.27405,1.27604,1.27173,1.27468,6.3,0.05,
08/16/2023 08:00,1.27399,1.2767,1.2734,1.27408,0.9,0.01,
08/16/2023 04:00,1.26969,1.27452,1.2695,1.27412,44.3,0.35,
08/16/2023 00:00,1.26992,1.2703,1.2686,1.26969,-2.3,-0.02,
08/15/2023 20:00,1.27,1.2707,1.26807,1.26996,-0.4,0.00,
08/15/2023 16:00,1.27425,1.27438,1.2693,1.27026,-39.9,-0.31,
08/15/2023 12:00,1.27064,1.27523,1.26811,1.27415,35.1,0.28,
08/15/2023 08:00,1.2692,1.27298,1.2684,1.27064,14.4,0.11,
08/15/2023 04:00,1.26884,1.272,1.26735,1.26922,3.8,0.03,
08/15/2023 00:00,1.26845,1.26931,1.26743,1.26875,3.0,0.02,
08/14/2023 20:00,1.268,1.2695,1.2678,1.26851,5.1,0.04,
08/14/2023 16:00,1.26891,1.27065,1.2672,1.26799,-9.2,-0.07,
08/14/2023 12:00,1.26928,1.26964,1.26159,1.26896,-3.2,-0.03,
08/14/2023 08:00,1.26929,1.27147,1.26868,1.26929,0.0,0.00,
08/14/2023 04:00,1.26697,1.26979,1.2666,1.2693,23.3,0.18,
08/14/2023 00:00,1.26937,1.26966,1.2665,1.2668,-25.7,-0.20,
08/13/2023 20:00,1.26921,1.27033,1.2686,1.26938,1.7,0.01,
08/11/2023 20:00,1.2699,1.2702,1.26828,1.2693,-6,-0.05,
08/11/2023 16:00,1.26933,1.2703,1.2684,1.26988,5.5,0.04,
08/11/2023 12:00,1.27329,1.27386,1.268,1.2693,-39.9,-0.31,
08/11/2023 08:00,1.27048,1.27354,1.2692,1.27329,28.1,0.22,
08/11/2023 04:00,1.26843,1.27226,1.2677,1.27052,20.9,0.16,
08/11/2023 00:00,1.26695,1.2691,1.26647,1.26842,14.7,0.12,
08/10/2023 20:00,1.26749,1.2683,1.2666,1.26685,-6.4,-0.05,
08/10/2023 16:00,1.27238,1.27258,1.2669,1.2675,-48.8,-0.39,
08/10/2023 12:00,1.27632,1.28183,1.2714,1.27221,-41.1,-0.32,
08/10/2023 08:00,1.27445,1.2777,1.2742,1.27631,18.6,0.15,
