GBPUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
08/17/2023 00:00,1.2727,1.2727,1.271,1.27177,-9.3,-0.07,
08/16/2023 00:00,1.26996,1.2767,1.2686,1.2726,26.4,0.21,
08/15/2023 00:00,1.26845,1.27523,1.26735,1.26996,15.1,0.12,
08/14/2023 00:00,1.26936,1.27148,1.26159,1.26851,-8.5,-0.07,
08/13/2023 00:00,1.26921,1.27033,1.2686,1.26938,1.7,0.01,
08/11/2023 00:00,1.26695,1.27386,1.26647,1.2693,23.5,0.19,
08/10/2023 00:00,1.27193,1.28183,1.2666,1.2669,-50.3,-0.40,
08/09/2023 00:00,1.2743,1.27821,1.2706,1.27193,-23.7,-0.19,
08/08/2023 00:00,1.278,1.2786,1.2682,1.2741,-39,-0.31,
08/07/2023 00:00,1.27437,1.279,1.271,1.27802,36.5,0.29,
08/06/2023 00:00,1.27508,1.27544,1.27447,1.27483,-2.5,-0.02,
08/04/2023 00:00,1.27153,1.27921,1.26869,1.2747,31.7,0.25,
08/03/2023 00:00,1.27173,1.2728,1.26197,1.27145,-2.8,-0.02,
08/02/2023 00:00,1.27942,1.27985,1.2679,1.27195,-74.7,-0.59,
08/01/2023 00:00,1.28313,1.28387,1.274,1.27951,-36.2,-0.28,
07/31/2023 00:00,1.28531,1.2873,1.2826,1.28324,-20.7,-0.16,
07/30/2023 00:00,1.28338,1.28579,1.28327,1.28532,19.4,0.15,
07/28/2023 00:00,1.27927,1.28883,1.27616,1.2845,52.3,0.41,
07/27/2023 00:00,1.29267,1.2996,1.278,1.27929,-133.8,-1.05,
07/26/2023 00:00,1.28931,1.29602,1.2874,1.29258,32.7,0.25,
07/25/2023 00:00,1.28115,1.2905,1.2808,1.28924,80.9,0.63,
07/24/2023 00:00,1.28519,1.2884,1.2796,1.28118,-40.1,-0.31,
07/21/2023 00:00,1.28717,1.2904,1.2815,1.2855,-16.7,-0.13,
07/20/2023 00:00,1.29362,1.2965,1.2838,1.28718,-64.4,-0.50,
07/19/2023 00:00,1.30331,1.3039,1.2866,1.2936,-97.1,-0.75,
07/18/2023 00:00,1.30707,1.3126,1.30277,1.30334,-37.3,-0.29,
07/17/2023 00:00,1.30891,1.3109,1.30503,1.30714,-17.7,-0.14,
07/14/2023 00:00,1.31273,1.31424,1.30848,1.309,-37.3,-0.28,
07/13/2023 00:00,1.29944,1.3144,1.29814,1.31277,133.3,1.02,
07/12/2023 00:00,1.29336,1.3001,1.2902,1.29942,60.6,0.47,
07/11/2023 00:00,1.28638,1.29391,1.2854,1.2933,69.2,0.54,
07/10/2023 00:00,1.28374,1.287,1.2749,1.28636,26.2,0.20,
07/07/2023 00:00,1.274,1.285,1.2725,1.2841,101,0.79,
07/06/2023 00:00,1.2703,1.2781,1.26729,1.27407,37.7,0.30,
07/05/2023 00:00,1.27175,1.27353,1.26835,1.27031,-14.4,-0.11,
07/04/2023 00:00,1.2692,1.274,1.2682,1.2717,25,0.20,
07/03/2023 00:00,1.26933,1.27233,1.2657,1.26902,-3.1,-0.02,
06/30/2023 00:00,1.26126,1.2727,1.25665,1.25845,-28.1,-0.22,
06/29/2023 00:00,1.26414,1.26668,1.25899,1.26119,-29.5,-0.23,
06/28/2023 00:00,1.27444,1.2752,1.2605,1.26399,-104.5,-0.83,
06/27/2023 00:00,1.27103,1.276,1.27025,1.27444,34.1,0.27,
06/26/2023 00:00,1.27288,1.2749,1.2687,1.27104,-18.4,-0.14,
06/23/2023 00:00,1.27448,1.2749,1.26843,1.2713,-31.8,-0.25,
06/22/2023 00:00,1.27686,1.28417,1.2724,1.27463,-22.3,-0.17,
06/21/2023 00:00,1.27636,1.2802,1.2689,1.27701,6.5,0.05,
06/20/2023 00:00,1.27926,1.28061,1.2713,1.27651,-27.5,-0.22,
06/19/2023 00:00,1.2829,1.2837,1.2768,1.27914,-37.6,-0.29,
06/16/2023 00:00,1.27845,1.28492,1.2767,1.2823,38.5,0.30,
06/15/2023 00:00,1.26704,1.2791,1.2628,1.27844,114.0,0.89,
06/14/2023 00:00,1.26062,1.2699,1.25979,1.267,63.8,0.50,
06/13/2023 00:00,1.2514,1.2626,1.25109,1.26063,92.3,0.73,
06/12/2023 00:00,1.25791,1.26,1.2484,1.25143,-64.8,-0.52,
06/09/2023 00:00,1.25561,1.259,1.2533,1.2564,7.9,0.06,
06/08/2023 00:00,1.2445,1.2564,1.244,1.25577,112.7,0.90,
06/07/2023 00:00,1.24286,1.25,1.2394,1.24435,14.9,0.12,
06/06/2023 00:00,1.2432,1.2459,1.239,1.24273,-4.7,-0.04,
06/05/2023 00:00,1.24298,1.2444,1.2368,1.24305,0.7,0.01,
06/02/2023 00:00,1.2526,1.2545,1.2439,1.245,-76,-0.61,
06/01/2023 00:00,1.24445,1.254,1.2399,1.25241,79.6,0.64,
05/31/2023 00:00,1.24114,1.245,1.2347,1.24446,33.2,0.27,
05/30/2023 00:00,1.23473,1.24462,1.2326,1.24117,64.4,0.52,
05/29/2023 00:00,1.2345,1.2372,1.2334,1.23474,2.4,0.02,
05/26/2023 00:00,1.23521,1.23613,1.23204,1.2345,-7.1,-0.06,
05/25/2023 00:00,1.23679,1.23868,1.2307,1.2315,-52.9,-0.43,
05/24/2023 00:00,1.24158,1.24694,1.2356,1.2368,-47.8,-0.39,
05/23/2023 00:00,1.24334,1.24464,1.2372,1.2415,-18.4,-0.15,
05/22/2023 00:00,1.2462,1.2472,1.2413,1.24336,-28.4,-0.23,
05/19/2023 00:00,1.24105,1.2484,1.2391,1.2447,36.5,0.29,
05/18/2023 00:00,1.2481,1.2493,1.239,1.24111,-69.9,-0.56,
05/17/2023 00:00,1.24843,1.251,1.242,1.248,-4.3,-0.03,
05/16/2023 00:00,1.25245,1.25468,1.2464,1.24831,-41.4,-0.33,
05/15/2023 00:00,1.24507,1.25343,1.2444,1.25236,72.9,0.58,
05/12/2023 00:00,1.25072,1.2541,1.24417,1.2451,-56.2,-0.45,
05/11/2023 00:00,1.26238,1.26403,1.2495,1.25071,-116.7,-0.93,
05/10/2023 00:00,1.26227,1.26796,1.2601,1.26239,1.2,0.01,
05/09/2023 00:00,1.26119,1.26397,1.2577,1.2623,11.1,0.09,
05/08/2023 00:00,1.26295,1.26687,1.26058,1.26121,-17.4,-0.14,
05/05/2023 00:00,1.2583,1.2652,1.25583,1.2638,55,0.44,
05/04/2023 00:00,1.25668,1.2599,1.2547,1.2581,14.2,0.11,
05/03/2023 00:00,1.24762,1.2589,1.24636,1.25667,90.5,0.72,
05/02/2023 00:00,1.24843,1.25121,1.2434,1.24761,-8.2,-0.07,
05/01/2023 00:00,1.25574,1.2573,1.2479,1.24842,-73.2,-0.59,
04/28/2023 00:00,1.24954,1.2584,1.2445,1.2568,72.6,0.58,
04/27/2023 00:00,1.24693,1.25002,1.2435,1.24966,27.3,0.22,
04/26/2023 00:00,1.24137,1.25152,1.2401,1.24692,55.5,0.45,
04/25/2023 00:00,1.24971,1.2507,1.2385,1.24124,-84.7,-0.68,
04/24/2023 00:00,1.24471,1.25,1.2409,1.2499,51.9,0.42,
04/21/2023 00:00,1.24399,1.2448,1.2365,1.2434,-5.9,-0.05,
04/20/2023 00:00,1.24277,1.24671,1.2404,1.24388,11.1,0.09,
04/19/2023 00:00,1.24241,1.24743,1.2391,1.2427,2.9,0.02,
04/18/2023 00:00,1.2372,1.24498,1.23664,1.2425,53,0.43,
04/17/2023 00:00,1.24007,1.24381,1.2352,1.2373,-27.7,-0.22,
04/14/2023 00:00,1.25229,1.2547,1.2397,1.2422,-100.9,-0.81,
04/13/2023 00:00,1.249,1.25376,1.24761,1.25228,32.8,0.26,
04/12/2023 00:00,1.2429,1.2496,1.2397,1.24899,60.9,0.49,
04/11/2023 00:00,1.23901,1.24563,1.2385,1.24284,38.3,0.31,
04/10/2023 00:00,1.24302,1.2443,1.2343,1.23902,-40.0,-0.32,
04/07/2023 00:00,1.24358,1.2456,1.23887,1.242,-15.8,-0.13,
04/06/2023 00:00,1.24612,1.24868,1.2411,1.24357,-25.5,-0.21,
04/05/2023 00:00,1.24984,1.25144,1.2432,1.2461,-37.4,-0.30,
